State,Date,Time,Cumulative case count,Cumulative deaths,,,,,,,,,,,,
QLD,14/03/2020,,46,,,,,,,,,,,,,
VIC,14/03/2020,17:02,49,,,,,,,,,,,,,
NSW,14/03/2020,11:00,112,4,,,,,,,,,,,,
NT,15/03/2020,11:57,0,,,,,,,,,,,,,
TAS,15/03/2020,10:30,6,,,,,,,,,,,,,
TAS,15/03/2020,,7,,,,,,,,,,,,,
SA,15/03/2020,,20,,,,,,,,,,,,,
VIC,15/03/2020,11:01,57,,,,,,,,,,,,,
QLD,15/03/2020,16.44,61,,,,,,,,,,,,,
NSW,15/03/2020,11:00,134,4,,,,,,,,,,,,
NSW,15/03/2020,,134,4,,,,,,,,,,,,
ACT,16/03/2020,08:19,2,,,,,,,,,,,,,
WA,16/03/2020,12:30,28,1,,,,,,,,,,,,
SA,16/03/2020,,29,,,,,,,,,,,,,
QLD,16/03/2020,16:58,68,,,,,,,,,,,,,
VIC,16/03/2020,14:33,71,,,,,,,,,,,,,
NSW,16/03/2020,11:00,171,4,,,,,,,,,,,,
TAS,17/03/2020,,7,,,,,,,,,,,,,
WA,17/03/2020,13:00,31,1,,,,,,,,,,,,
SA,17/03/2020,,32,,,,,,,,,,,,,
QLD,17/03/2020,18:31,78,,,,,,,,,,,,,
VIC,17/03/2020,14:25,94,,,,,,,,,,,,,
NSW,17/03/2020,11:00,210,4,,,,,,,,,,,,
NSW,17/03/2020,,,5,,,,,,,,,,,,
NT,18/03/2020,,0,,,,,,,,,,,,,
ACT,18/03/2020,08:03,3,,,,,,,,,,,,,
ACT,18/03/2020,,3,,,,,,,,,,,,,
TAS,18/03/2020,,10,,,,,,,,,,,,,
WA,18/03/2020,,35,1,,,,,,,,,,,,
SA,18/03/2020,,37,,,,,,,,,,,,,
QLD,18/03/2020,,94,,,,,,,,,,,,,
VIC,18/03/2020,13:45,121,,,,,,,,,,,,,
NSW,18/03/2020,11:00,267,5,,,,,,,,,,,,
ACT,19/03/2020,14:19,4,,,,,,,,,,,,,
TAS,19/03/2020,,10,,,,,,,,,,,,,
