State,Date,Time,Cumulative case count,Cumulative deaths,,,,,,,,,,,,
NSW,26/04/2020,20:00,3004,36,,,,,,,,,,,,
SA,26/04/2020,16:00,438,4,,,,,,,,,,,,
VIC,27/04/2020,12:27,1349,17,,,,,,,,,,,,
QLD,27/04/2020,12:55,1033,,,,,,,,,,,,,
ACT,27/04/2020,13:25,106,3,,,,,,,,,,,,
TAS,26/04/2020,,,11,,,,,,,,,,,,
WA,27/04/2020,,549,8,,,,,,,,,,,,
NSW,27/04/2020,20:00,3009,37,,,,,,,,,,,,
NSW,28/04/2020,,,37,,,,,,,,,,,,
NT,28/04/2020,06:00,28,,,,,,,,,,,,,
TAS,28/04/2020,08:30,214,,,,,,,,,,,,,
VIC,28/04/2020,12:39,1351,17,,,,,,,,,,,,
ACT,28/04/2020,13:30,106,,,,,,,,,,,,,
WA,28/04/2020,16:20,550,,,,,,,,,,,,,
TAS,28/04/2020,17:30,217,,,,,,,,,,,,,
SA,28/04/2020,17:30,438,,,,,,,,,,,,,
NSW,28/04/2020,17:30,,41,,,,,,,,,,,,
NSW,28/04/2020,20:00,3016,41,,,,,,,,,,,,
VIC,29/04/2020,10:00,1354,18,,,,,,,,,,,,
QLD,29/04/2020,11:00,1033,,,,,,,,,,,,,
NT,29/04/2020,11:00,28,,,,,,,,,,,,,
ACT,29/04/2020,13:00,106,,,,,,,,,,,,,
NSW,29/04/2020,16:15,,42,,,,,,,,,,,,
TAS,29/04/2020,17:00,220,,,,,,,,,,,,,
SA,29/04/2020,17:00,438,,,,,,,,,,,,,
WA,29/04/2020,17:50,551,,,,,,,,,,,,,
NSW,29/04/2020,20:00,3016,42,,,,,,,,,,,,
VIC,30/04/2020,10:10,1361,,,,,,,,,,,,,
ACT,30/04/2020,13:40,106,3,,,,,,,,,,,,
WA,30/04/2020,16:27,551,,,,,,,,,,,,,
QLD,30/04/2020,17:17,1033,,,,,,,,,,,,,
TAS,30/04/2020,,221,13,,,,,,,,,,,,
NSW,30/04/2020,20:00,3025,43,,,,,,,,,,,,
VIC,01/05/2020,12:00,1364,,,,,,,,,,,,,
ACT,01/05/2020,13:00,106,,,,,,,,,,,,,
QLD,01/05/2020,14:45,1033,,,,,,,,,,,,,
WA,01/05/2020,21:30,551,,,,,,,,,,,,,
SA,01/05/2020,,438,,,,,,,,,,,,,
TAS,01/05/2020,,223,,,,,,,,,,,,,
NSW,01/05/2020,20:00,3031,,,,,,,,,,,,,
VIC,02/05/2020,11:00,1371,,,,,,,,,,,,,
QLD,02/05/2020,14:20,1034,,,,,,,,,,,,,
ACT,02/05/2020,15:30,106,,,,,,,,,,,,,
VIC,03/05/2020,10:49,1384,18,,,,,,,,,,,,
NSW,02/05/2020,,,44,,,,,,,,,,,,
QLD,03/05/2020,11:47,1035,,,,,,,,,,,,,
WA,03/05/2020,14:37,551,9,,,,,,,,,,,,
NSW,02/05/2020,20:00,3032,44,,,,,,,,,,,,
NSW,03/05/2020,20:00,3033,44,,,,,,,,,,,,
ACT,04/05/2020,,107,3,,,,,,,,,,,,
NSW,04/05/2020,,,45,,,,,,,,,,,,
QLD,04/05/2020,14:38,1038,,,,,,,,,,,,,
VIC,04/05/2020,15:09,1406,18,,,,,,,,,,,,
WA,04/05/2020,17:00,551,,,,,,,,,,,,,
NT,04/05/2020,20:00,29,,,,,,,,,,,,,
SA,04/05/2020,20:00,438,,,,,,,,,,,,,
TAS,04/05/2020,20:00,223,,,,,,,,,,,,,
NSW,05/05/2020,20:00,3035,,,,,,,,,,,,,
QLD,05/05/2020,09:00,1040,,,,,,,,,,,,,
VIC,05/05/2020,11:40,1423,,,,,,,,,,,,,
ACT,05/05/2020,13:34,107,3,,,,,,,,,,,,
WA,05/05/2020,15:59,551,9,,,,,,,,,,,,
NSW,05/05/2020,17:00,,46,,,,,,,,,,,,
SA,05/05/2020,17:30,438,,,,,,,,,,,,,
TAS,05/05/2020,20:00,223,,,,,,,,,,,,,
NT,05/05/2020,20:00,29,,,,,,,,,,,,,
NSW,05/05/2020,20:00,3042,,,,,,,,,,,,,
VIC,06/05/2020,09:00,1440,,,,,,,,,,,,,
ACT,06/05/2020,12:00,107,,,,,,,,,,,,,
WA,06/05/2020,16:00,551,,,,,,,,,,,,,
QLD,06/05/2020,18:20,1043,,,,,,,,,,,,,
NSW,06/05/2020,20:00,3044,46,,,,,,,,,,,,
SA,06/05/2020,20:00,438,,,,,,,,,,,,,
TAS,06/05/2020,20:00,225,,,,,,,,,,,,,
NT,06/05/2020,20:00,29,,,,,,,,,,,,,
QLD,07/05/2020,09:00,1045,,,,,,,,,,,,,
NT,07/05/2020,09:30,30,,,,,,,,,,,,,
VIC,07/05/2020,10:00,1454,18,,,,,,,,,,,,
ACT,07/05/2020,12:22,107,3,,,,,,,,,,,,
SA,07/05/2020,15:45,439,,,,,,,,,,,,,
WA,07/05/2020,17:51,551,,,,,,,,,,,,,
QLD,07/05/2020,19:45,1045,,,,,,,,,,,,,
NSW,07/05/2020,20:00,3047,,,,,,,,,,,,,
TAS,07/05/2020,20:15,226,,,,,,,,,,,,,
NT,08/05/2020,08:50,30,,,,,,,,,,,,,
VIC,08/05/2020,11:00,1467,,,,,,,,,,,,,
QLD,08/05/2020,12:54,1045,,,,,,,,,,,,,
WA,08/05/2020,14:10,552,,,,,,,,,,,,,
ACT,08/05/2020,13:17,107,3,,,,,,,,,,,,
VIC,08/05/2020,14:53,1467,18,,,,,,,,,,,,
TAS,08/05/2020,20:00,227,,,,,,,,,,,,,
SA,08/05/2020,20:00,439,,,,,,,,,,,,,
NSW,08/05/2020,20:00,3051,,,,,,,,,,,,,
ACT,09/05/2020,12:45,107,,,,,,,,,,,,,
VIC,09/05/2020,13:00,1477,,,,,,,,,,,,,
WA,09/05/2020,13:15,552,,,,,,,,,,,,,
QLD,09/05/2020,13:40,1045,,,,,,,,,,,,,
SA,09/05/2020,17:30,439,,,,,,,,,,,,,
NSW,10/05/2020,12:30,3053,,,,,,,,,,,,,
VIC,10/05/2020,12:30,1487,,,,,,,,,,,,,
WA,10/05/2020,12:30,552,,,,,,,,,,,,,
ACT,10/05/2020,12:30,107,,,,,,,,,,,,,
NSW,10/05/2020,20:00,3053,46,,,,,,,,,,,,
ACT,11/05/2020,13:24,107,,,,,,,,,,,,,
QLD,11/05/2020,13:41,1045,,,,,,,,,,,,,
NT,11/05/2020,15:00,30,,,,,,,,,,,,,
VIC,11/05/2020,16:13,1494,18,,,,,,,,,,,,
WA,11/05/2020,17:59,552,,,,,,,,,,,,,
SA,11/05/2020,20:00,439,,,,,,,,,,,,,
TAS,11/05/2020,20:00,227,,,,,,,,,,,,,
NSW,11/05/2020,20:00,3053,,,,,,,,,,,,,
ACT,12/05/2020,13:24,107,,,,,,,,,,,,,
QLD,12/05/2020,14:47,1045,,,,,,,,,,,,,
VIC,12/05/2020,16:50,1509,,,,,,,,,,,,,
WA,12/05/2020,18:00,553,,,,,,,,,,,,,
NSW,12/05/2020,20:00,3059,47,,,,,,,,,,,,
ACT,13/05/2020,12:25,107,,,,,,,,,,,,,
VIC,13/05/2020,13:20,1514,,,,,,,,,,,,,
QLD,13/05/2020,14:00,1045,,,,,,,,,,,,,
WA,13/05/2020,14:53,553,,,,,,,,,,,,,
NT,13/05/2020,17:20,30,,,,,,,,,,,,,
NSW,13/05/2020,20:00,3063,,,,,,,,,,,,,
SA,13/05/2020,20:00,439,,,,,,,,,,,,,
TAS,13/05/2020,20:00,227,,,,,,,,,,,,,
ACT,14/05/2020,13:28,107,,,,,,,,,,,,,
VIC,14/05/2020,15:30,1523,,,,,,,,,,,,,
WA,14/05/2020,15:50,554,,,,,,,,,,,,,
SA,14/05/2020,20:00,439,,,,,,,,,,,,,
TAS,14/05/2020,20:00,227,,,,,,,,,,,,,
NSW,14/05/2020,20:00,3071,,,,,,,,,,,,,
VIC,15/05/2020,,1543,18,,,,,,,,,,,,
ACT,15/05/2020,14:16,107,,,,,,,,,,,,,
QLD,15/05/2020,18:15,1046,,,,,,,,,,,,,
TAS,15/05/2020,20:00,227,,,,,,,,,,,,,
SA,15/05/2020,20:00,439,,,,,,,,,,,,,
NSW,15/05/2020,20:00,3074,,,,,,,,,,,,,
VIC,16/05/2020,10:00,1554,,,,,,,,,,,,,
QLD,16/05/2020,12:00,1047,,,,,,,,,,,,,
ACT,16/05/2020,12:45,107,,,,,,,,,,,,,
WA,16/05/2020,16:40,556,,,,,,,,,,,,,
TAS,17/05/2020,12:00,228,,,,,,,,,,,,,
QLD,17/05/2020,12:00,1055,,,,,,,,,,,,,
ACT,17/05/2020,12:20,107,,,,,,,,,,,,,
NSW,17/05/2020,13:04,3075,,,,,,,,,,,,,
WA,17/05/2020,15:27,557,,,,,,,,,,,,,
VIC,17/05/2020,17:10,1567,,,,,,,,,,,,,
NSW,17/05/2020,20:00,3076,,,,,,,,,,,,,
NSW,18/05/2020,09:40,,48,,,,,,,,,,,,
ACT,18/05/2020,12:56,107,,,,,,,,,,,,,
QLD,18/05/2020,15:07,1057,,,,,,,,,,,,,
WA,18/05/2020,15:26,557,,,,,,,,,,,,,
VIC,18/05/2020,15:37,1567,18,,,,,,,,,,,,
NT,18/05/2020,16:00,30,,,,,,,,,,,,,
TAS,18/05/2020,20:00,228,,,,,,,,,,,,,
SA,18/05/2020,20:00,439,,,,,,,,,,,,,
NSW,18/05/2020,20:00,3078,,,,,,,,,,,,,
VIC,19/05/2020,12:50,1573,,,,,,,,,,,,,
NSW,19/05/2020,,,49,,,,,,,,,,,,
ACT,19/05/2020,13:10,107,,,,,,,,,,,,,
SA,19/05/2020,14:00,439,,,,,,,,,,,,,
NT,19/05/2020,16:00,30,,,,,,,,,,,,,
QLD,19/05/2020,17:15,1057,,,,,,,,,,,,,
TAS,19/05/2020,18:00,228,,,,,,,,,,,,,
WA,19/05/2020,18:30,557,,,,,,,,,,,,,
NSW,19/05/2020,20:00,3081,49,,,,,,,,,,,,
ACT,20/05/2020,12:55,107,,,,,,,,,,,,,
VIC,20/05/2020,13:45,1580,,,,,,,,,,,,,
SA,20/05/2020,15:00,439,,,,,,,,,,,,,
NT,20/05/2020,16:00,30,,,,,,,,,,,,,
WA,20/05/2020,17:40,557,,,,,,,,,,,,,
TAS,20/05/2020,18:00,228,,,,,,,,,,,,,
QLD,20/05/2020,18:30,1058,,,,,,,,,,,,,
NSW,20/05/2020,20:00,3082,,,,,,,,,,,,,
VIC,21/05/2020,12:15,1581,,,,,,,,,,,,,
ACT,21/05/2020,12:45,107,,,,,,,,,,,,,
QLD,21/05/2020,14:30,1058,,,,,,,,,,,,,
WA,21/05/2020,17:00,557,,,,,,,,,,,,,
NSW,21/05/2020,20:00,3084,50,,,,,,,,,,,,
NSW,22/05/2020,,,50,,,,,,,,,,,,
VIC,22/05/2020,11:40,1593,18,,,,,,,,,,,,
ACT,22/05/2020,13:29,107,,,,,,,,,,,,,
SA,22/05/2020,15:00,439,,,,,,,,,,,,,
WA,22/05/2020,17:00,557,,,,,,,,,,,,,
QLD,22/05/2020,17:30,1058,,,,,,,,,,,,,
NSW,22/05/2020,20:00,3086,50,,,,,,,,,,,,
VIC,23/05/2020,12:47,1602,19,,,,,,,,,,,,
WA,23/05/2020,13:07,560,,,,,,,,,,,,,
QLD,23/05/2020,15:46,1060,,,,,,,,,,,,,
VIC,24/05/2020,10:30,1603,,,,,,,,,,,,,
ACT,24/05/2020,13:30,107,,,,,,,,,,,,,
WA,24/05/2020,13:40,560,,,,,,,,,,,,,
NSW,24/05/2020,13:40,3087,,,,,,,,,,,,,
SA,24/05/2020,15:00,439,,,,,,,,,,,,,
QLD,24/05/2020,16:30,1061,,,,,,,,,,,,,
TAS,24/05/2020,16:30,228,,,,,,,,,,,,,
NSW,24/05/2020,20:00,3090,,,,,,,,,,,,,
NT,25/05/2020,08:30,30,,,,,,,,,,,,,
VIC,25/05/2020,10:00,1605,,,,,,,,,,,,,
ACT,25/05/2020,14:15,107,,,,,,,,,,,,,
QLD,25/05/2020,15:00,1056,,,,,,,,,,,,,
SA,25/05/2020,15:00,439,,,,,,,,,,,,,
WA,25/05/2020,17:45,564,,,,,,,,,,,,,
TAS,25/05/2020,18:00,228,,,,,,,,,,,,,
VIC,26/05/2020,11:15,1610,,,,,,,,,,,,,
NSW,26/05/2020,11:40,3092,,,,,,,,,,,,,
ACT,26/05/2020,13:30,107,,,,,,,,,,,,,
SA,26/05/2020,15:00,440,,,,,,,,,,,,,
NT,26/05/2020,15:30,30,,,,,,,,,,,,,
TAS,26/05/2020,18:00,228,,,,,,,,,,,,,
WA,26/05/2020,19:10,570,,,,,,,,,,,,,
NSW,26/05/2020,20:00,3089,,,,,,,,,,,,,
VIC,27/05/2020,13:00,1618,,,,,,,,,,,,,
ACT,27/05/2020,14:30,107,,,,,,,,,,,,,
SA,27/05/2020,15:00,440,,,,,,,,,,,,,
QLD,27/05/2020,16:20,1058,,,,,,,,,,,,,
TAS,27/05/2020,18:00,228,,,,,,,,,,,,,
WA,27/05/2020,18:14,570,,,,,,,,,,,,,
NSW,27/05/2020,20:00,3090,,,,,,,,,,,,,
VIC,28/05/2020,11:43,1628,,,,,,,,,,,,,
ACT,28/05/2020,14:32,107,,,,,,,,,,,,,
SA,28/05/2020,15:00,440,,,,,,,,,,,,,
WA,28/05/2020,17:30,577,,,,,,,,,,,,,
TAS,28/05/2020,18:00,228,,,,,,,,,,,,,
NSW,28/05/2020,20:00,3092,,,,,,,,,,,,,
ACT,29/05/2020,13:20,107,,,,,,,,,,,,,
VIC,29/05/2020,14:50,1634,,,,,,,,,,,,,
QLD,29/05/2020,15:00,1058,,,,,,,,,,,,,
WA,29/05/2020,17:00,585,,,,,,,,,,,,,
NSW,29/05/2020,20:00,3092,,,,,,,,,,,,,
VIC,30/05/2020,10:42,1645,,,,,,,,,,,,,
QLD,30/05/2020,13:30,1058,,,,,,,,,,,,,
SA,30/05/2020,15:00,440,,,,,,,,,,,,,
WA,30/05/2020,15:45,586,,,,,,,,,,,,,
NSW,30/05/2020,20:00,3095,,,,,,,,,,,,,
VIC,31/05/2020,11:25,1649,,,,,,,,,,,,,
ACT,31/05/2020,12:30,107,,,,,,,,,,,,,
QLD,31/05/2020,15:00,1058,,,,,,,,,,,,,
SA,31/05/2020,15:00,440,,,,,,,,,,,,,
WA,31/05/2020,15:30,589,,,,,,,,,,,,,
TAS,31/05/2020,18:00,228,,,,,,,,,,,,,
NSW,31/05/2020,20:00,3098,,,,,,,,,,,,,
NT,01/06/2020,08:00,30,,,,,,,,,,,,,
VIC,01/06/2020,10:50,1653,,,,,,,,,,,,,
ACT,01/06/2020,12:30,107,,,,,,,,,,,,,
WA,01/06/2020,13:40,591,,,,,,,,,,,,,
QLD,01/06/2020,15:00,1058,,,,,,,,,,,,,
NSW,02/06/2020,11:10,3104,,,,,,,,,,,,,
VIC,02/06/2020,11:30,1663,,,,,,,,,,,,,
QLD,02/06/2020,17:30,1059,,,,,,,,,,,,,
WA,02/06/2020,17:30,591,,,,,,,,,,,,,
TAS,02/06/2020,17:30,228,,,,,,,,,,,,,
SA,02/06/2020,17:30,440,,,,,,,,,,,,,
ACT,02/06/2020,17:30,107,,,,,,,,,,,,,
NSW,02/06/2020,20:00,3104,,,,,,,,,,,,,
WA,03/06/2020,15:57,592,,,,,,,,,,,,,
NSW,03/06/2020,20:00,3106,,,,,,,,,,,,,
VIC,04/06/2020,15:10,1678,,,,,,,,,,,,,
WA,04/06/2020,17:00,592,,,,,,,,,,,,,
ACT,04/06/2020,17:00,107,,,,,,,,,,,,,
NT,04/06/2020,17:00,29,,,,,,,,,,,,,
QLD,04/06/2020,17:00,1060,,,,,,,,,,,,,
SA,04/06/2020,17:00,440,,,,,,,,,,,,,
TAS,04/06/2020,17:00,228,,,,,,,,,,,,,
VIC,05/06/2020,10:27,1681,,,,,,,,,,,,,
NSW,04/06/2020,20:00,3110,,,,,,,,,,,,,
WA,05/06/2020,16:12,596,,,,,,,,,,,,,
NSW,05/06/2020,20:00,3110,,,,,,,,,,,,,
QLD,06/06/2020,12:00,1061,,,,,,,,,,,,,
WA,06/06/2020,12:32,599,,,,,,,,,,,,,
VIC,06/06/2020,14:00,1681,,,,,,,,,,,,,
SA,06/06/2020,15:00,440,,,,,,,,,,,,,
NSW,06/06/2020,20:00,3109,,,,,,,,,,,,,
VIC,07/06/2020,11:30,1685,,,,,,,,,,,,,
QLD,07/06/2020,12:00,1061,,,,,,,,,,,,,
ACT,07/06/2020,13:00,108,,,,,,,,,,,,,
WA,07/06/2020,15:00,599,,,,,,,,,,,,,
NSW,07/06/2020,20:00,3112,,,,,,,,,,,,,
NT,08/06/2020,08:30,29,,,,,,,,,,,,,
VIC,08/06/2020,10:30,1687,,,,,,,,,,,,,
QLD,08/06/2020,12:00,1062,,,,,,,,,,,,,
ACT,08/06/2020,13:00,108,,,,,,,,,,,,,
SA,08/06/2020,15:00,440,,,,,,,,,,,,,
WA,08/06/2020,17:00,599,,,,,,,,,,,,,
TAS,08/06/2020,18:00,228,,,,,,,,,,,,,
NSW,08/06/2020,20:00,3114,,,,,,,,,,,,,
VIC,09/06/2020,10:00,1687,,,,,,,,,,,,,
WA,09/06/2020,16:38,599,,,,,,,,,,,,,
NSW,09/06/2020,20:00,3117,,,,,,,,,,,,,
VIC,10/06/2020,12:21,1691,,,,,,,,,,,,,
WA,10/06/2020,16:45,601,,,,,,,,,,,,,
SA,10/06/2020,17:00,440,,,,,,,,,,,,,
TAS,10/06/2020,18:00,228,,,,,,,,,,,,,
NSW,10/06/2020,20:00,3117,,,,,,,,,,,,,
VIC,11/06/2020,11:00,1699,,,,,,,,,,,,,
QLD,11/06/2020,12:00,1063,,,,,,,,,,,,,
ACT,11/06/2020,13:40,108,,,,,,,,,,,,,
WA,12/06/2020,13:40,602,,,,,,,,,,,,,
VIC,12/06/2020,15:04,1703,,,,,,,,,,,,,
NSW,12/06/2020,11:00,3119,,,,,,,,,,,,,
QLD,13/06/2020,16:30,1065,,,,,,,,,,,,,
VIC,13/06/2020,16:41,1711,,,,,,,,,,,,,
NSW,13/06/2020,20:00,3128,,,,,,,,,,,,,
QLD,14/06/2020,12:00,1065,,,,,,,,,,,,,
VIC,14/06/2020,12:50,1720,,,,,,,,,,,,,
WA,14/06/2020,13:20,602,,,,,,,,,,,,,
NSW,14/06/2020,20:00,3131,,,,,,,,,,,,,
VIC,15/06/2020,12:40,1732,,,,,,,,,,,,,
WA,15/06/2020,15:00,602,,,,,,,,,,,,,
NSW,15/06/2020,20:00,3134,,,,,,,,,,,,,
VIC,16/06/2020,11:30,1741,,,,,,,,,,,,,
QLD,16/06/2020,12:00,1065,,,,,,,,,,,,,
ACT,16/06/2020,12:00,108,,,,,,,,,,,,,
WA,16/06/2020,16:00,602,,,,,,,,,,,,,
SA,16/06/2020,17:00,440,,,,,,,,,,,,,
TAS,16/06/2020,18:00,228,,,,,,,,,,,,,
NSW,16/06/2020,20:00,3135,,,,,,,,,,,,,
NT,17/06/2020,08:30,29,,,,,,,,,,,,,
ACT,17/06/2020,14:30,108,,,,,,,,,,,,,
VIC,17/06/2020,14:45,1762,,,,,,,,,,,,,
QLD,17/06/2020,15:00,1066,,,,,,,,,,,,,
SA,17/06/2020,15:00,440,,,,,,,,,,,,,
WA,17/06/2020,17:00,602,,,,,,,,,,,,,
TAS,17/06/2020,18:00,228,,,,,,,,,,,,,
NSW,17/06/2020,20:00,3137,,,,,,,,,,,,,
QLD,18/06/2020,12:00,1066,,,,,,,,,,,,,
VIC,18/06/2020,14:15,1780,,,,,,,,,,,,,
WA,18/06/2020,14:45,603,,,,,,,,,,,,,
NSW,18/06/2020,20:00,3143,,,,,,,,,,,,,
WA,19/06/2020,13:03,603,,,,,,,,,,,,,
VIC,19/06/2020,14:47,1792,,,,,,,,,,,,,
NSW,19/06/2020,20:00,3144,,,,,,,,,,,,,
WA,20/06/2020,12:00,604,,,,,,,,,,,,,
VIC,20/06/2020,12:00,1817,,,,,,,,,,,,,
NSW,20/06/2020,20:00,3149,,,,,,,,,,,,,
QLD,21/06/2020,12:00,1066,,,,,,,,,,,,,
ACT,21/06/2020,12:30,108,,,,,,,,,,,,,
VIC,21/06/2020,15:25,1836,,,,,,,,,,,,,
WA,21/06/2020,17:00,605,,,,,,,,,,,,,
SA,21/06/2020,17:00,440,,,,,,,,,,,,,
TAS,21/06/2020,18:00,228,,,,,,,,,,,,,
NSW,21/06/2020,20:00,3151,,,,,,,,,,,,,
NT,22/06/2020,08:30,29,,,,,,,,,,,,,
VIC,22/06/2020,12:00,1847,,,,,,,,,,,,,
NSW,22/06/2020,20:00,3159,,,,,,,,,,,,,
NT,23/06/2020,08:30,29,,,,,,,,,,,,,
QLD,23/06/2020,12:00,1066,,,,,,,,,,,,,
ACT,23/06/2020,12:00,108,,,,,,,,,,,,,
VIC,23/06/2020,14:16,1864,,,,,,,,,,,,,
WA,23/06/2020,14:39,607,,,,,,,,,,,,,
SA,23/06/2020,15:00,440,,,,,,,,,,,,,
TAS,23/06/2020,18:00,228,,,,,,,,,,,,,
NSW,23/06/2020,20:00,3159,,,,,,,,,,,,,
VIC,24/06/2020,09:30,1884,20,,,,,,,,,,,,
WA,24/06/2020,15:00,607,,,,,,,,,,,,,
SA,24/06/2020,15:00,440,,,,,,,,,,,,,
NSW,24/06/2020,20:00,3162,51,,,,,,,,,,,,
QLD,25/06/2020,12:00,1066,,,,,,,,,,,,,
WA,25/06/2020,15:40,608,,,,,,,,,,,,,
VIC,25/06/2020,16:15,1917,,,,,,,,,,,,,
NSW,25/06/2020,20:00,3168,,,,,,,,,,,,,
VIC,26/06/2020,12:50,1947,,,,,,,,,,,,,
WA,26/06/2020,13:47,608,,,,,,,,,,,,,
QLD,26/06/2020,12:00,1067,,,,,,,,,,,,,
NSW,26/06/2020,20:00,3174,,,,,,,,,,,,,
WA,27/06/2020,14:00,608,,,,,,,,,,,,,
VIC,27/06/2020,15:20,1987,,,,,,,,,,,,,
NSW,27/06/2020,20:00,3177,,,,,,,,,,,,,
WA,28/06/2020,11:10,609,,,,,,,,,,,,,
VIC,28/06/2020,14:15,2028,,,,,,,,,,,,,
NSW,28/06/2020,20:00,3184,,,,,,,,,,,,,
WA,29/06/2020,15:15,609,,,,,,,,,,,,,
SA,29/06/2020,15:15,443,,,,,,,,,,,,,
VIC,29/06/2020,16:30,2099,,,,,,,,,,,,,
NSW,29/06/2020,20:00,3189,,,,,,,,,,,,,
VIC,30/06/2020,14:00,2159,,,,,,,,,,,,,
WA,30/06/2020,14:30,611,,,,,,,,,,,,,
NSW,30/06/2020,20:00,3203,,,,,,,,,,,,,
VIC,01/07/2020,15:00,2231,,,,,,,,,,,,,
WA,01/07/2020,15:29,611,,,,,,,,,,,,,
ACT,01/07/2020,15:31,108,,,,,,,,,,,,,
QLD,01/07/2020,12:00,1067,,,,,,,,,,,,,
NSW,01/07/2020,20:00,3211,,,,,,,,,,,,,
NT,02/07/2020,09:00,30,,,,,,,,,,,,,
VIC,02/07/2020,14:25,2303,,,,,,,,,,,,,
NSW,02/07/2020,20:00,3211,,,,,,,,,,,,,
VIC,03/07/2020,11:00,2368,,,,,,,,,,,,,
WA,03/07/2020,14:00,611,,,,,,,,,,,,,
NSW,03/07/2020,11:00,3216,,,,,,,,,,,,,
WA,04/07/2020,14:45,612,,,,,,,,,,,,,
QLD,04/07/2020,17:00,1067,,,,,,,,,,,,,
ACT,04/07/2020,17:00,108,,,,,,,,,,,,,
NT,04/07/2020,17:30,31,,,,,,,,,,,,,
VIC,04/07/2020,17:30,2469,,,,,,,,,,,,,
NSW,04/07/2020,20:00,3230,,,,,,,,,,,,,
WA,05/07/2020,14:58,618,,,,,,,,,,,,,
VIC,05/07/2020,15:28,2536,21,,,,,,,,,,,,
NSW,05/07/2020,20:00,3240,,,,,,,,,,,,,
VIC,06/07/2020,15:30,2660,22,,,,,,,,,,,,
SA,06/07/2020,16:30,443,,,,,,,,,,,,,
WA,06/07/2020,17:00,621,,,,,,,,,,,,,
NSW,06/07/2020,20:00,3244,,,,,,,,,,,,,
VIC,07/07/2020,13:00,2824,,,,,,,,,,,,,
QLD,07/07/2020,14:00,1068,,,,,,,,,,,,,
NSW,07/07/2020,20:00,3251,,,,,,,,,,,,,
VIC,08/07/2020,14:00,2942,,,,,,,,,,,,,
NSW,08/07/2020,14:00,3251,,,,,,,,,,,,,
ACT,08/07/2020,14:10,111,,,,,,,,,,,,,
WA,08/07/2020,14:30,624,,,,,,,,,,,,,
NSW,08/07/2020,20:00,3264,,,,,,,,,,,,,
ACT,09/07/2020,14:10,112,,,,,,,,,,,,,
VIC,09/07/2020,14:15,3098,,,,,,,,,,,,,
WA,09/07/2020,16:50,627,,,,,,,,,,,,,
NSW,09/07/2020,20:00,3278,,,,,,,,,,,,,
NT,10/07/2020,09:00,32,,,,,,,,,,,,,
ACT,10/07/2020,13:40,113,,,,,,,,,,,,,
VIC,10/07/2020,17:00,3379,,,,,,,,,,,,,
NSW,10/07/2020,20:00,3285,,,,,,,,,,,,,
VIC,11/07/2020,13:40,3560,23,,,,,,,,,,,,
QLD,11/07/2020,13:40,1070,,,,,,,,,,,,,
ACT,11/07/2020,13:40,113,,,,,,,,,,,,,
WA,11/07/2020,14:10,634,,,,,,,,,,,,,
VIC,12/07/2020,11:08,3799,24,,,,,,,,,,,,
NSW,11/07/2020,20:00,3289,,,,,,,,,,,,,
WA,12/07/2020,14:27,635,,,,,,,,,,,,,
ACT,12/07/2020,16:34,113,,,,,,,,,,,,,
NSW,12/07/2020,20:00,3303,,,,,,,,,,,,,
QLD,13/07/2020,11:39,1071,,,,,,,,,,,,,
ACT,13/07/2020,14:16,113,,,,,,,,,,,,,
WA,13/07/2020,14:23,635,,,,,,,,,,,,,
VIC,13/07/2020,15:13,3967,,,,,,,,,,,,,
NSW,13/07/2020,20:00,3316,,,,,,,,,,,,,
VIC,14/07/2020,,4224,26,,,,,,,,,,,,
ACT,14/07/2020,13:00,113,,,,,,,,,,,,,
WA,14/07/2020,14:16,636,,,,,,,,,,,,,
NSW,14/07/2020,20:00,3328,,,,,,,,,,,,,
VIC,15/07/2020,11:15,4448,27,,,,,,,,,,,,
ACT,15/07/2020,14:15,113,,,,,,,,,,,,,
WA,15/07/2020,16:00,644,,,,,,,,,,,,,
NSW,15/07/2020,20:00,3338,,,,,,,,,,,,,
ACT,16/07/2020,10:00,113,,,,,,,,,,,,,
VIC,16/07/2020,11:00,4750,29,,,,,,,,,,,,
WA,16/07/2020,14:20,646,,,,,,,,,,,,,
SA,16/07/2020,16:00,444,,,,,,,,,,,,,
NSW,16/07/2020,20:00,3346,,,,,,,,,,,,,
VIC,17/07/2020,11:45,5165,32,,,,,,,,,,,,
WA,17/07/2020,17:00,648,,,,,,,,,,,,,
NSW,17/07/2020,20:00,3361,,,,,,,,,,,,,
VIC,18/07/2020,11:00,5353,35,,,,,,,,,,,,
WA,18/07/2020,14:00,651,,,,,,,,,,,,,
NSW,18/07/2020,20:00,3379,,,,,,,,,,,,,
ACT,19/07/2020,13:44,113,,,,,,,,,,,,,
WA,19/07/2020,14:18,651,,,,,,,,,,,,,
QLD,19/07/2020,12:00,1071,,,,,,,,,,,,,
SA,19/07/2020,,444,,,,,,,,,,,,,
NT,19/07/2020,09:00,32,,,,,,,,,,,,,
VIC,19/07/2020,,5696,38,,,,,,,,,,,,
NSW,19/07/2020,20:00,3399,,,,,,,,,,,,,
NT,20/07/2020,09:00,32,,,,,,,,,,,,,
ACT,20/07/2020,12:50,113,,,,,,,,,,,,,
VIC,20/07/2020,14:00,5942,39,,,,,,,,,,,,
QLD,20/07/2020,14:38,1072,,,,,,,,,,,,,
WA,20/07/2020,15:22,651,,,,,,,,,,,,,
